ID,distance,year,jd,planet,number
8059,0.3012632,2067.591,2476232.2088,5.0,112.0
8150,0.321367,2079.466,2480569.4485,5.0,113.0
8296,0.2986715,2079.44,2480560.271,5.0,114.0
8366,0.2999267,2067.614,2476240.5225,5.0,115.0
8484,0.2999138,2233.654,2536885.1604,5.0,116.0
8501,0.2909966,2067.641,2476250.3626,5.0,117.0
8618,0.3094305,2138.76,2502225.9529,5.0,118.0
8652,0.2980967,2079.44,2480560.245,5.0,119.0
8784,0.3114438,2150.642,2506565.7288,5.0,120.0
8851,0.3069404,2138.797,2502239.359,5.0,121.0
8967,0.3063486,2115.066,2493571.6583,5.0,122.0
9024,0.3141286,2150.626,2506559.8673,5.0,123.0
9068,0.3188392,2316.691,2567213.3716,5.0,124.0
9130,0.3175612,2221.823,2532563.7828,5.0,125.0
9173,0.3204759,2150.726,2506596.6426,5.0,126.0
9240,0.3188778,2055.786,2471920.5643,5.0,127.0
9279,0.2977872,2079.44,2480560.2033,5.0,128.0
9385,0.2913137,2138.794,2502238.2543,5.0,129.0
9436,0.3146578,2055.765,2471912.6534,5.0,130.0
9493,0.3149441,2055.843,2471941.2506,5.0,131.0
9529,0.3036512,2079.448,2480563.0064,5.0,132.0
9691,0.2886093,2079.461,2480567.6674,5.0,133.0
9837,0.3004945,2079.448,2480562.9373,5.0,134.0
9969,0.2986919,2079.447,2480562.6509,5.0,135.0
10126,0.2901758,2067.612,2476239.7703,5.0,136.0
10251,0.2966898,2067.619,2476242.2692,5.0,137.0
10346,0.3148791,2150.682,2506580.4287,5.0,138.0
10415,0.2884781,2482.728,2627858.4021,5.0,139.0
10465,0.2851538,2067.612,2476239.9423,5.0,140.0
10628,0.2964433,2055.783,2471919.1811,5.0,141.0
10677,0.3098388,2150.722,2506595.0759,5.0,142.0
10723,0.3092453,2067.697,2476270.8123,5.0,143.0
10858,0.2989207,2079.448,2480563.0447,5.0,144.0
11033,0.3085859,2150.622,2506558.5519,5.0,145.0
11071,0.3161136,2079.445,2480561.9543,5.0,146.0
11201,0.2972214,2067.597,2476234.4659,5.0,147.0
11298,0.3207977,2067.596,2476234.1878,5.0,148.0
11421,0.2963988,2257.378,2545550.4339,5.0,149.0
11493,0.3051573,2055.758,2471910.2081,5.0,150.0
11574,0.303708,2055.784,2471919.8168,5.0,151.0
11673,0.3024395,2067.635,2476248.1856,5.0,152.0
11816,0.2982981,2067.592,2476232.6175,5.0,153.0
11893,0.3106212,2055.748,2471906.4636,5.0,154.0
11969,0.3200936,2067.593,2476232.9316,5.0,155.0
12032,0.3081883,2067.68,2476264.7011,5.0,156.0
12101,0.2959346,2138.781,2502233.5789,5.0,157.0
12201,0.3072769,2257.379,2545550.9785,5.0,158.0
12240,0.2887446,2067.612,2476240.0464,5.0,159.0
12360,0.3203041,2115.068,2493572.1883,5.0,160.0
12402,0.3166489,2257.4,2545558.3584,5.0,161.0
12445,0.3208363,2115.064,2493570.8444,5.0,162.0
12468,0.3100583,2067.597,2476234.4321,5.0,163.0
12573,0.3169819,2221.83,2532566.471,5.0,164.0
12629,0.3019034,2079.488,2480577.457,5.0,165.0
12787,0.3001574,2150.626,2506559.8808,5.0,166.0
12823,0.3054477,2067.594,2476233.4711,5.0,167.0
12886,0.3186635,2257.41,2545562.2729,5.0,168.0
12928,0.3053596,2067.591,2476232.3546,5.0,169.0
13031,0.2975449,2079.441,2480560.295,5.0,170.0
13090,0.3081124,2257.382,2545552.0437,5.0,171.0
13124,0.3145824,2138.761,2502226.4189,5.0,172.0
13183,0.3175144,2221.796,2532554.1092,5.0,173.0
13251,0.3200172,2067.628,2476245.7329,5.0,174.0
13322,0.3036902,2221.796,2532554.0643,5.0,175.0
13397,0.293793,2079.447,2480562.5794,5.0,176.0
13552,0.3214188,2079.465,2480569.1283,5.0,177.0
13690,0.2943607,2067.594,2476233.2897,5.0,178.0
13753,0.2857123,2067.62,2476242.656,5.0,179.0
13872,0.2996685,2079.439,2480559.9001,5.0,180.0
13987,0.3044079,2055.807,2471928.167,5.0,181.0
