a e i Om w M year jd number v
3.137756044000000077e+00 6.201086759999999698e-01 7.078781856700000219e+01 2.829018657089999920e+02 1.715543449509999903e+02 3.962876600000000277e-02 2.003165543531999901e+03 2.452700723478234839e+06 4.300000000000000000e+01 3.703820569999999868e-01
3.118513281999999887e+00 6.177672320000000550e-01 7.084585741600000119e+01 2.828956584019999809e+02 1.713950730599999872e+02 6.497937350000000389e-01 2.003174872253000103e+03 2.452704130720714107e+06 4.400000000000000000e+01 3.489360471999999991e+00
3.118615167000000188e+00 6.177702870000000290e-01 7.084910224300000436e+01 2.828975502850000225e+02 1.714307014229999879e+02 1.092397241000000019e+00 2.003181644046999963e+03 2.452706604065721855e+06 4.500000000000000000e+01 5.901698859999999769e+00
3.138106556999999963e+00 6.201514329999999742e-01 7.083624267199999736e+01 2.828945964960000197e+02 1.714713023239999927e+02 9.457361599999999924e-02 2.003166392118999966e+03 2.452701033417737111e+06 4.600000000000000000e+01 5.837216109999999736e-01
3.117195708000000121e+00 6.176053959999999732e-01 7.084400885300000539e+01 2.828976885619999848e+02 1.713952642529999935e+02 1.073253527999999957e+00 2.003181339962000038e+03 2.452706493001068942e+06 4.700000000000000000e+01 5.759660807999999577e+00
3.114868743999999801e+00 6.173086129999999505e-01 7.079316858100000331e+01 2.829008586850000029e+02 1.715349571719999915e+02 3.156510359999999960e-01 2.003169752054999890e+03 2.452702260608408134e+06 4.800000000000000000e+01 1.830678937000000062e+00
3.120881624999999993e+00 6.180874960000000140e-01 7.078015710299999341e+01 2.829012315329999865e+02 1.712665822540000136e+02 9.991646650000000074e-01 2.003180234366999912e+03 2.452706089190824889e+06 4.900000000000000000e+01 5.246025484999999655e+00
3.129964476000000051e+00 6.191555739999999863e-01 7.076605632899999421e+01 2.829041315759999975e+02 1.715056197639999880e+02 3.578440769999999826e-01 2.003170436169999903e+03 2.452702510475900024e+06 5.000000000000000000e+01 2.044085883000000159e+00
3.142639663999999833e+00 6.206959640000000444e-01 7.080016751099999794e+01 2.828999758100000008e+02 1.715516780300000050e+02 1.252086050000000006e-01 2.003166869389000112e+03 2.452701207737138029e+06 5.100000000000000000e+01 8.340023180000000202e-01
3.127997571999999948e+00 6.189252010000000359e-01 7.084762639900000636e+01 2.828926970969999957e+02 1.714241183610000121e+02 6.217463399999999946e-02 2.003165887162999979e+03 2.452700848986621015e+06 5.200000000000000000e+01 3.580060059999999877e-01
3.145215775000000047e+00 6.210031520000000027e-01 7.078340247299999533e+01 2.829020817840000177e+02 1.715090634649999970e+02 3.181147979999999764e-01 2.003169860848000098e+03 2.452702300343879033e+06 5.300000000000000000e+01 1.845435769000000059e+00
3.145934818999999827e+00 6.210982339999999713e-01 7.077140322799999694e+01 2.829044727620000117e+02 1.714083164010000075e+02 3.469132700000000097e-02 2.003165469394999946e+03 2.452700696399970911e+06 5.400000000000000000e+01 1.991687970000000085e-01
3.131377781999999943e+00 6.193104270000000522e-01 7.077294727899999316e+01 2.829020757999999773e+02 1.715359972980000123e+02 7.978632949999999724e-01 2.003177213035000023e+03 2.452704985673003830e+06 5.500000000000000000e+01 4.456069305999999841e+00
3.142711471000000145e+00 6.207395350000000089e-01 7.082882741999999610e+01 2.828983569600000010e+02 1.712843614340000045e+02 1.035029299999999930e+00 2.003180950263000113e+03 2.452706350666406099e+06 5.600000000000000000e+01 5.518464007999999588e+00
3.106640112000000009e+00 6.163026849999999612e-01 7.076869910700000332e+01 2.829044333979999806e+02 1.714693616110000107e+02 1.704995860000000085e-01 2.003167525099999921e+03 2.452701447230498772e+06 5.700000000000000000e+01 9.828054470000000542e-01
3.121625998999999929e+00 6.181403330000000418e-01 7.085235404099999812e+01 2.828968882469999926e+02 1.714296455520000109e+02 9.949653779999999559e-01 2.003180175505000079e+03 2.452706067691950127e+06 5.800000000000000000e+01 5.386301186999999935e+00
3.105507368000000046e+00 6.161604699999999601e-01 7.078026074699999981e+01 2.829026517469999931e+02 1.714868856109999911e+02 2.399816439999999940e-01 2.003168579980000004e+03 2.452701832517114934e+06 5.900000000000000000e+01 1.370584983000000090e+00
3.157628843999999990e+00 6.224977280000000279e-01 7.081606717500000059e+01 2.828988494490000107e+02 1.714269660660000056e+02 8.573400389999999982e-01 2.003178294845999972e+03 2.452705380795969162e+06 6.000000000000000000e+01 4.730846974000000316e+00
3.118914209999999798e+00 6.178153050000000368e-01 7.085461851300000546e+01 2.828916824789999964e+02 1.714253829150000001e+02 7.260519000000000001e-02 2.003166042602000061e+03 2.452700905759536196e+06 6.100000000000000000e+01 4.135098620000000058e-01
3.146744441000000059e+00 6.212125290000000133e-01 7.078642940999999666e+01 2.829007115520000184e+02 1.713408199749999881e+02 1.067818600000000062e+00 2.003181489546999956e+03 2.452706547635642812e+06 6.200000000000000000e+01 5.765444546000000337e+00
3.151726881000000091e+00 6.217962219999999540e-01 7.079064761600000111e+01 2.829012606169999913e+02 1.713750689569999963e+02 2.503355870000000261e-01 2.003168822661999911e+03 2.452701921154788230e+06 6.300000000000000000e+01 1.346050342999999927e+00
3.134097285999999816e+00 6.196837499999999777e-01 7.076451588599999809e+01 2.829023787390000280e+02 1.713264564870000015e+02 9.317917850000000390e-01 2.003179293261000112e+03 2.452705745459198020e+06 6.400000000000000000e+01 4.978340012000000314e+00
3.147942513999999914e+00 6.213448160000000220e-01 7.077898212799999556e+01 2.829014035120000017e+02 1.713834380239999859e+02 9.173316040000000227e-01 2.003179164180000043e+03 2.452705698313551955e+06 6.500000000000000000e+01 4.992013064000000000e+00
3.121012959000000198e+00 6.180582930000000363e-01 7.075867161300000419e+01 2.829028046189999941e+02 1.714629363109999929e+02 9.045679669999999728e-01 2.003178786446000004e+03 2.452705560349207837e+06 6.600000000000000000e+01 4.934016705000000336e+00
3.120810876999999817e+00 6.180461459999999629e-01 7.085165271600000381e+01 2.828929377050000085e+02 1.714355514949999986e+02 2.240155530000000061e-01 2.003168362461000015e+03 2.452701753069830127e+06 6.700000000000000000e+01 1.240302723999999968e+00
3.117275788999999797e+00 6.175783990000000001e-01 7.078088884599999631e+01 2.829010185210000259e+02 1.715405731849999995e+02 1.038473962999999944e+00 2.003180808851999927e+03 2.452706299016950186e+06 6.800000000000000000e+01 5.719062261000000369e+00
3.104438141999999790e+00 6.160481960000000479e-01 7.080554551100000538e+01 2.828996082759999808e+02 1.713251122089999967e+02 9.100773979999999819e-01 2.003178759937999985e+03 2.452705550667413045e+06 6.900000000000000000e+01 4.783385499000000429e+00
3.136710991999999809e+00 6.199910849999999973e-01 7.074570085199999880e+01 2.829029684669999938e+02 1.713740120230000059e+02 1.044966980999999961e+00 2.003181057768000073e+03 2.452706389931616839e+06 7.000000000000000000e+01 5.645539974000000072e+00
3.137012276000000099e+00 6.200317739999999800e-01 7.075605969299999742e+01 2.829027856499999984e+02 1.713532732250000095e+02 9.616858280000000203e-01 2.003179774698000074e+03 2.452705921300358139e+06 7.100000000000000000e+01 5.174711489999999969e+00
3.124374395999999887e+00 6.184790100000000512e-01 7.083470325199999706e+01 2.828953263640000273e+02 1.714804024249999941e+02 2.355346329999999933e-01 2.003168545055000095e+03 2.452701819761046208e+06 7.200000000000000000e+01 1.350328841000000057e+00
3.134418145000000155e+00 6.197071699999999739e-01 7.074870004800000345e+01 2.829070267509999894e+02 1.713792421770000090e+02 2.303867109999999940e-01 2.003168483136000077e+03 2.452701797145672143e+06 7.300000000000000000e+01 1.231734730000000111e+00
3.119188873999999778e+00 6.178286079999999458e-01 7.082422445100000630e+01 2.828984929229999921e+02 1.714872948869999902e+02 9.576359209999999456e-01 2.003179586403000030e+03 2.452705852526965085e+06 7.400000000000000000e+01 5.237099348000000099e+00
3.130067932000000219e+00 6.191749939999999786e-01 7.075897912300000314e+01 2.829058230410000192e+02 1.714608633100000077e+02 1.669147410000000054e-01 2.003167499346000113e+03 2.452701437823830172e+06 7.500000000000000000e+01 9.665122130000000089e-01
3.112183658000000186e+00 6.169852430000000165e-01 7.082958838899999421e+01 2.828977810349999800e+02 1.714156290180000042e+02 8.457237979999999711e-01 2.003177830232999895e+03 2.452705211099801119e+06 7.600000000000000000e+01 4.548178355000000117e+00
3.104850288000000180e+00 6.160873709999999948e-01 7.076728201199999546e+01 2.829022321119999788e+02 1.713792474329999891e+02 9.241865070000000459e-01 2.003178977116999931e+03 2.452705629990322050e+06 7.700000000000000000e+01 4.914377503999999952e+00
3.138626589999999883e+00 6.202229259999999522e-01 7.074213434399999301e+01 2.829032919320000019e+02 1.713742525279999995e+02 1.021780982999999976e+00 2.003180714403999900e+03 2.452706264520877972e+06 7.800000000000000000e+01 5.525832005999999907e+00
3.151562617999999816e+00 6.217534310000000231e-01 7.081721277600000519e+01 2.828987751799999728e+02 1.715105103070000041e+02 8.492243760000000030e-01 2.003178130222999926e+03 2.452705320668731816e+06 7.900000000000000000e+01 4.755126215999999850e+00
3.138567302999999864e+00 6.202166649999999448e-01 7.074145644099999686e+01 2.829027069429999983e+02 1.713740418920000081e+02 1.127986557999999917e+00 2.003182354393999958e+03 2.452706863514226861e+06 8.000000000000000000e+01 6.100591753999999867e+00
3.135657927000000011e+00 6.198839459999999635e-01 7.078454454600000645e+01 2.829009843680000245e+02 1.712831830570000022e+02 9.723061160000000536e-01 2.003179928898000071e+03 2.452705977620775811e+06 8.100000000000000000e+01 5.158245067000000184e+00
3.109561261000000076e+00 6.166615720000000467e-01 7.082145960299999388e+01 2.828986965390000137e+02 1.714136666939999998e+02 9.910323949999999549e-01 2.003180027308000035e+03 2.452706013564417139e+06 8.200000000000000000e+01 5.316591349000000299e+00
3.117027661999999921e+00 6.175706720000000427e-01 7.083163232600000470e+01 2.828979083209999885e+02 1.714588352869999994e+02 9.246591699999999747e-01 2.003179067053999916e+03 2.452705662839111872e+06 8.300000000000000000e+01 5.026024946999999798e+00
3.137261936999999890e+00 6.200488659999999763e-01 7.084250237400000572e+01 2.828944407000000183e+02 1.714317354609999882e+02 2.809138840000000026e-01 2.003169267920000038e+03 2.452702083781631198e+06 8.400000000000000000e+01 1.556442544000000039e+00
3.134390463999999987e+00 6.196828049999999477e-01 7.076600683099999856e+01 2.829023890469999856e+02 1.714955876280000098e+02 8.682420939999999643e-01 2.003178315655000006e+03 2.452705388396332040e+06 8.500000000000000000e+01 4.803576640000000175e+00
3.147234629000000172e+00 6.212545029999999580e-01 7.077497230299999842e+01 2.829037958179999919e+02 1.714145813480000129e+02 7.953152400000000621e-02 2.003166165194000087e+03 2.452700950535390992e+06 8.600000000000000000e+01 4.502811429999999948e-01
3.120656251999999853e+00 6.180127460000000017e-01 7.083821015200000204e+01 2.828981474710000157e+02 1.714593360670000095e+02 1.100101793000000105e+00 2.003181778442999985e+03 2.452706653152766172e+06 8.700000000000000000e+01 5.977886737000000394e+00
3.123377790999999792e+00 6.183557240000000510e-01 7.085114266700000485e+01 2.828967880980000018e+02 1.714260983380000027e+02 9.609653620000000451e-01 2.003179666987000019e+03 2.452705881959641818e+06 8.800000000000000000e+01 5.204740093999999928e+00
3.142532226000000151e+00 6.207011230000000213e-01 7.077124568499999668e+01 2.829016878749999933e+02 1.713498847909999938e+02 1.006201480999999953e+00 2.003180502777999891e+03 2.452706187226021197e+06 8.900000000000000000e+01 5.427622100999999866e+00
3.133549673000000091e+00 6.196126669999999503e-01 7.084319115399999589e+01 2.828973021080000194e+02 1.713511870499999930e+02 9.730839479999999764e-01 2.003179925761000050e+03 2.452705976475006901e+06 9.000000000000000000e+01 5.223176493999999614e+00
3.147988514000000126e+00 6.213442559999999837e-01 7.077672595900000374e+01 2.829013577410000266e+02 1.714111037490000058e+02 9.957969429999999900e-01 2.003180381917999966e+03 2.452706143082811031e+06 9.100000000000000000e+01 5.447082111000000282e+00
3.139025471000000067e+00 6.202653959999999689e-01 7.074643973499999561e+01 2.829076428440000086e+02 1.713720026270000005e+02 1.752178510000000078e-01 2.003167638653000040e+03 2.452701488704553805e+06 9.200000000000000000e+01 9.276136849999999656e-01
3.138555583000000038e+00 6.202185380000000414e-01 7.084268643000000054e+01 2.828978866169999833e+02 1.713621861780000017e+02 1.097547719999999893e+00 2.003181884144999913e+03 2.452706691759434063e+06 9.300000000000000000e+01 5.922358269000000064e+00
3.116807302999999862e+00 6.175540290000000043e-01 7.084516928499999722e+01 2.828957878449999725e+02 1.714198827250000079e+02 6.599908859999999988e-01 2.003175019966000036e+03 2.452704184671656229e+06 9.400000000000000000e+01 3.565818505999999832e+00
3.107596580000000053e+00 6.164231009999999733e-01 7.079468609600000661e+01 2.829008290749999901e+02 1.714948472080000101e+02 2.305915500000000132e-02 2.003165282578999950e+03 2.452700628167015966e+06 9.500000000000000000e+01 2.185275250000000002e-01
3.130010597000000061e+00 6.191793479999999628e-01 7.080435212899999442e+01 2.828993940039999870e+02 1.712350919929999975e+02 2.352513400000000032e-01 2.003168550479000032e+03 2.452701821742159780e+06 9.600000000000000000e+01 1.108605443000000079e+00
3.154180815000000138e+00 6.220797430000000183e-01 7.082790840299999502e+01 2.828981374090000145e+02 1.714499415340000041e+02 9.026606360000000162e-01 2.003178978208999979e+03 2.452705630389155820e+06 9.700000000000000000e+01 4.992969543000000066e+00
3.118891332000000016e+00 6.178079490000000229e-01 7.085425467100000674e+01 2.828964204029999792e+02 1.714203799800000070e+02 9.323722920000000469e-01 2.003179197750999947e+03 2.452705710574985016e+06 9.800000000000000000e+01 5.033463455999999780e+00
3.112866954999999880e+00 6.170784660000000477e-01 7.080403828000000033e+01 2.828994103570000220e+02 1.712569188370000006e+02 1.662157529999999939e-01 2.003167467544999909e+03 2.452701426208891906e+06 9.900000000000000000e+01 7.487142629999999910e-01
3.123622757000000139e+00 6.183940519999999719e-01 7.084145730599999524e+01 2.828941272860000140e+02 1.713515308140000002e+02 1.906545060000000014e-01 2.003167855485000018e+03 2.452701567900691181e+06 1.000000000000000000e+02 9.784434509999999641e-01
3.123696921000000071e+00 6.183981349999999599e-01 7.079795604599999592e+01 2.829003092340000194e+02 1.715582684119999897e+02 5.754052400000000261e-02 2.003165814123000018e+03 2.452700822309473064e+06 1.010000000000000000e+02 4.688969479999999801e-01
3.142406557999999794e+00 6.206839400000000451e-01 7.080775512799999660e+01 2.828990131680000104e+02 1.712641723360000015e+02 3.456650479999999748e-01 2.003170280563000006e+03 2.452702453641864005e+06 1.020000000000000000e+02 1.747249207000000082e+00
3.141467197999999961e+00 6.205828509999999909e-01 7.079063621599999578e+01 2.829006663079999839e+02 1.712936221980000084e+02 8.933954830000000458e-01 2.003178750062000063e+03 2.452705547060057055e+06 1.030000000000000000e+02 4.755725470999999871e+00
3.140191188000000189e+00 6.204055160000000457e-01 7.075323642200000052e+01 2.829072477770000091e+02 1.713789177810000126e+02 5.401383700000000204e-02 2.003165766607000023e+03 2.452700804954533931e+06 1.040000000000000000e+02 2.752961800000000014e-01
3.124480664000000019e+00 6.184939929999999642e-01 7.084736558299999842e+01 2.828937181370000076e+02 1.714424771429999907e+02 2.627664579999999805e-01 2.003168963029999986e+03 2.452701972423077095e+06 1.050000000000000000e+02 1.458946856000000070e+00
3.131081544000000161e+00 6.192888420000000060e-01 7.078636480100000483e+01 2.829017405060000101e+02 1.715647068179999906e+02 2.882945809999999942e-01 2.003169368705999887e+03 2.452702120593050960e+06 1.060000000000000000e+02 1.726858929999999903e+00
3.126743927000000145e+00 6.187625960000000536e-01 7.084197907200000088e+01 2.828963338290000138e+02 1.714600575949999950e+02 7.080979499999999760e-01 2.003175807108000072e+03 2.452704472169165034e+06 1.070000000000000000e+02 3.883972320999999894e+00
3.118165927999999809e+00 6.177188380000000478e-01 7.082572177199999430e+01 2.828965686430000233e+02 1.714844988019999903e+02 2.481180960000000102e-01 2.003168726761000016e+03 2.452701886127559002e+06 1.080000000000000000e+02 1.418445876999999911e+00
3.114413927000000193e+00 6.172570200000000451e-01 7.076280924099999936e+01 2.829047083199999975e+02 1.714799348930000065e+02 3.169954910000000181e-01 2.003169771526999966e+03 2.452702267720139120e+06 1.090000000000000000e+02 1.783772522000000027e+00
3.131612889999999982e+00 6.193675450000000193e-01 7.075042153399999734e+01 2.829031631319999747e+02 1.713908324269999923e+02 9.534177539999999507e-01 2.003179609110000001e+03 2.452705860820540227e+06 1.100000000000000000e+02 5.153038858000000388e+00
3.118289870999999991e+00 6.177379570000000042e-01 7.085862091399999940e+01 2.828916877760000261e+02 1.714311985930000048e+02 1.750049260000000051e-01 2.003167608618000031e+03 2.452701477734466083e+06 1.110000000000000000e+02 9.702450849999999516e-01
3.136207751000000155e+00 6.199158710000000072e-01 7.077355880999999727e+01 2.829035250969999993e+02 1.715196972749999986e+02 2.401585990000000004e-01 2.003168636943999900e+03 2.452701853322505951e+06 1.120000000000000000e+02 1.425213081999999964e+00
3.156324285999999812e+00 6.223476999999999482e-01 7.082183145800000545e+01 2.828970733909999922e+02 1.713680015219999859e+02 2.581813110000000244e-01 2.003168953393000038e+03 2.452701968903120141e+06 1.130000000000000000e+02 1.383891978000000078e+00
3.147128740999999952e+00 6.212425980000000347e-01 7.083875678299999379e+01 2.828946609459999877e+02 1.713928366119999964e+02 2.187616149999999926e-01 2.003168324466000058e+03 2.452701739192599896e+06 1.140000000000000000e+02 1.185976273000000081e+00
3.139646441000000010e+00 6.203396850000000295e-01 7.075112596300000689e+01 2.829075345350000248e+02 1.713792457940000133e+02 6.200435800000000247e-02 2.003165889873999959e+03 2.452700849976804107e+06 1.150000000000000000e+02 3.191153800000000040e-01
3.126909275000000044e+00 6.187883770000000005e-01 7.075917478200000232e+01 2.829053882279999925e+02 1.714678327819999879e+02 2.640725910000000232e-01 2.003168987793000042e+03 2.452701981467653066e+06 1.160000000000000000e+02 1.496970869999999953e+00
