distance year jd planet node number
5.123800000000000403e-03 2.722027000000000044e+03 2.715259263199999928e+06 3.000000000000000000e+00 2.794574000000000069e+02 2.217000000000000000e+03
5.834100000000000050e-03 2.836028999999999996e+03 2.756898086000000127e+06 3.000000000000000000e+00 2.790430999999999813e+02 2.396000000000000000e+03
4.691500000000000357e-03 2.836028999999999996e+03 2.756898178199999966e+06 3.000000000000000000e+00 2.791370000000000005e+02 2.396000000000000000e+03
4.350999999999999833e-03 2.836028999999999996e+03 2.756898248199999798e+06 3.000000000000000000e+00 2.792083000000000084e+02 2.396000000000000000e+03
4.524900000000000103e-03 2.836030000000000200e+03 2.756898308499999810e+06 3.000000000000000000e+00 2.792697999999999752e+02 2.396000000000000000e+03
5.075500000000000150e-03 2.836030000000000200e+03 2.756898367699999828e+06 3.000000000000000000e+00 2.793301000000000158e+02 2.396000000000000000e+03
5.969900000000000206e-03 2.836030000000000200e+03 2.756898431499999948e+06 3.000000000000000000e+00 2.793949999999999818e+02 2.396000000000000000e+03
5.225200000000000157e-03 2.438016999999999825e+03 2.611527681100000162e+06 3.000000000000000000e+00 2.807361999999999966e+02 2.443000000000000000e+03
4.895000000000000046e-03 2.438016999999999825e+03 2.611527756099999882e+06 3.000000000000000000e+00 2.808125000000000000e+02 2.443000000000000000e+03
5.133600000000000316e-03 2.438016999999999825e+03 2.611527821299999952e+06 3.000000000000000000e+00 2.808790000000000191e+02 2.443000000000000000e+03
5.794800000000000124e-03 2.438016999999999825e+03 2.611527885900000110e+06 3.000000000000000000e+00 2.809447999999999865e+02 2.443000000000000000e+03
4.983500000000000082e-03 2.836030000000000200e+03 2.756898333300000057e+06 3.000000000000000000e+00 2.792950000000000159e+02 2.455000000000000000e+03
4.384700000000000056e-03 2.836030000000000200e+03 2.756898409500000067e+06 3.000000000000000000e+00 2.793725999999999772e+02 2.455000000000000000e+03
4.387499999999999907e-03 2.836030000000000200e+03 2.756898472099999897e+06 3.000000000000000000e+00 2.794363999999999919e+02 2.455000000000000000e+03
4.803700000000000157e-03 2.836030000000000200e+03 2.756898530900000129e+06 3.000000000000000000e+00 2.794963000000000193e+02 2.455000000000000000e+03
5.568100000000000306e-03 2.836030000000000200e+03 2.756898592300000135e+06 3.000000000000000000e+00 2.795588000000000193e+02 2.455000000000000000e+03
5.787099999999999883e-03 2.836028999999999996e+03 2.756898233599999920e+06 3.000000000000000000e+00 2.791933999999999969e+02 2.607000000000000000e+03
4.575499999999999706e-03 2.836030000000000200e+03 2.756898325600000098e+06 3.000000000000000000e+00 2.792871999999999844e+02 2.607000000000000000e+03
4.177100000000000431e-03 2.836030000000000200e+03 2.756898394600000232e+06 3.000000000000000000e+00 2.793573999999999842e+02 2.607000000000000000e+03
4.297300000000000425e-03 2.836030000000000200e+03 2.756898453100000042e+06 3.000000000000000000e+00 2.794171000000000049e+02 2.607000000000000000e+03
4.788200000000000268e-03 2.836030000000000200e+03 2.756898509699999820e+06 3.000000000000000000e+00 2.794746999999999844e+02 2.607000000000000000e+03
